DocumentID,Date,SalePrice,PropertyID,PropertyType,ym,zhvi_px,zhvi_idx,AdjSalePrice,NbrLivingUnits,SqFtLot,SqFtTotLiving,SqFtFinBasement,Bathrooms,Bedrooms,BldgGrade,YrBuilt,YrRenovated,TrafficNoise,LandVal,ImpsVal,ZipCode,NewConstruction
1,9/16/14,280000,1000102,Multiplex,9/1/14,405100,0.930836397,300805,2,9373,2400,0,3,6,7,1991,0,0,70000,229000,98002,FALSE
2,6/16/06,1000000,1200013,Single Family,6/1/06,404400,0.929227941,1076162,1,20156,3764,1452,3.75,4,10,2005,0,0,203000,590000,98166,TRUE
3,1/29/07,745000,1200019,Single Family,1/1/07,425600,0.977941176,761805,1,26036,2060,900,1.75,4,8,1947,0,0,183000,275000,98166,FALSE
4,2/25/08,425000,2800016,Single Family,2/1/08,418400,0.961397059,442065,1,8618,3200,1640,3.75,5,7,1966,0,0,104000,229000,98168,FALSE
5,3/29/13,240000,2800024,Single Family,3/1/13,351600,0.807904412,297065,1,8620,1720,0,1.75,4,7,1948,0,0,104000,205000,98168,FALSE
6,3/30/09,349900,3600090,Townhouse,3/1/09,369800,0.849724265,411781,1,1012,930,0,1.5,2,8,2008,0,0,170000,207000,98144,TRUE
7,8/28/13,327500,3800004,Single Family,8/1/13,374300,0.860064338,380785,1,34465,1750,0,1.5,3,8,1961,0,0,165000,227000,98178,FALSE
8,5/24/07,347000,3800009,Single Family,5/1/07,432100,0.992876838,349489,1,14659,1860,620,1.75,4,7,1963,0,0,115000,154000,98178,FALSE
9,9/22/06,220400,6600055,Single Family,9/1/06,414800,0.953125,231239,1,5324,990,0,1,2,6,1930,0,3,90000,75000,98032,FALSE
10,8/22/06,437500,7200080,Multiplex,8/1/06,411100,0.944623162,463148,2,10585,1980,0,2,4,6,1924,0,0,124000,116000,98055,FALSE
11,10/16/14,150000,7200179,Single Family,10/1/14,407400,0.936121324,160236,1,12750,840,0,1,2,6,1925,0,0,133000,73000,98055,FALSE
12,1/14/10,300000,7400054,Single Family,1/1/10,350800,0.806066176,372178,1,5200,1750,600,1,3,7,1958,0,1,100000,172000,98118,FALSE
13,6/26/08,292000,7400062,Single Family,6/1/08,403200,0.926470588,315175,1,5240,790,0,1,2,6,1925,0,1,100000,152000,98118,FALSE
14,5/21/14,299800,7400062,Single Family,5/1/14,398100,0.914751838,327739,1,5240,790,0,1,2,6,1925,0,1,100000,152000,98118,FALSE
15,6/13/13,370000,7600065,Townhouse,6/1/13,366100,0.841222426,439836,1,1245,1530,480,2.25,3,9,2014,0,2,91000,439000,-1,FALSE
16,9/25/06,605000,7600093,Single Family,9/1/06,414800,0.953125,634754,1,7320,2120,0,2.75,3,8,1901,0,0,261000,422000,98122,FALSE
17,5/4/07,475000,7600136,Townhouse,5/1/07,432100,0.992876838,478408,1,1148,1130,330,2,2,9,2007,0,0,91000,383000,-1,TRUE
18,2/24/07,425000,7600203,Single Family,2/1/07,427800,0.982996324,432352,1,3485,2620,1060,1.5,4,7,1920,0,0,235000,373000,98122,FALSE
19,3/26/08,357500,7600218,Townhouse,3/1/08,415100,0.953814338,374811,1,924,1250,210,1.5,2,8,2007,0,0,91000,352000,-1,TRUE
20,3/14/06,455000,9000210,Single Family,3/1/06,392100,0.900965074,505014,1,5253,1500,750,1.75,3,6,1919,0,0,333000,117000,98115,FALSE
21,11/9/07,495000,10000060,Single Family,11/1/07,428400,0.984375,502857,1,4600,2070,1000,2.25,3,7,1909,0,0,212000,366000,98116,FALSE
22,6/5/13,279500,11000040,Single Family,6/1/13,366100,0.841222426,332255,1,27229,3020,1510,3,3,6,2000,0,0,142000,189000,98001,FALSE
23,3/20/08,400000,11000041,Single Family,3/1/08,415100,0.953814338,419369,1,24034,2370,1080,2,4,8,1960,0,0,139000,200000,98001,FALSE
24,11/21/07,530500,11200070,Single Family,11/1/07,428400,0.984375,538921,1,3296,1530,0,2.5,3,8,1998,0,0,269000,209000,98007,FALSE
25,8/28/06,490000,11200370,Single Family,8/1/06,411100,0.944623162,518725,1,3696,1530,0,2.5,3,8,1998,0,0,269000,216000,98007,FALSE
26,9/12/12,608000,11500050,Single Family,9/1/12,329600,0.757352941,802796,1,13349,2780,0,2.5,3,10,1990,0,1,255000,480000,98052,FALSE
27,9/2/08,630000,11500270,Single Family,9/1/08,394900,0.907398897,694292,1,8186,2420,0,2.5,3,10,1992,0,0,269000,432000,98052,FALSE
