ID,Date,SalePrice,PropertyID,PropertyType,Bedrooms,Bathrooms,SqFtTotLiving,SqFtLot,YrBuilt
1,9/16/14,280000,1000102,Multiplex,6,3,2400,9373,1991
2,6/16/06,1000000,1200013,Single Family,4,3.75,3764,20156,2005
3,1/29/07,745000,1200019,Single Family,4,1.75,2060,26036,1947
4,2/25/08,425000,2800016,Single Family,5,3.75,3200,8618,1966
5,3/29/13,240000,2800024,Single Family,4,1.75,1720,8620,1948
6,3/30/09,349900,3600090,Townhouse,2,1.5,930,1012,2008
7,8/28/13,327500,3800004,Single Family,3,1.5,1750,34465,1961
8,5/24/07,347000,3800009,Single Family,4,1.75,1860,14659,1963
9,9/22/06,220400,6600055,Single Family,2,1,990,5324,1930
10,8/22/06,437500,7200080,Multiplex,4,2,1980,10585,1924
11,10/16/14,150000,7200179,Single Family,2,1,840,12750,1925
12,1/14/10,300000,7400054,Single Family,3,1,1750,5200,1958
13,6/26/08,292000,7400062,Single Family,2,1,790,5240,1925
14,5/21/14,299800,7400062,Single Family,2,1,790,5240,1925
15,6/13/13,370000,7600065,Townhouse,3,2.25,1530,1245,2014
16,9/25/06,605000,7600093,Single Family,3,2.75,2120,7320,1901
17,5/4/07,475000,7600136,Townhouse,2,2,1130,1148,2007
18,2/24/07,425000,7600203,Single Family,4,1.5,2620,3485,1920
19,3/26/08,357500,7600218,Townhouse,2,1.5,1250,924,2007
20,3/14/06,455000,9000210,Single Family,3,1.75,1500,5253,1919
21,11/9/07,495000,10000060,Single Family,3,2.25,2070,4600,1909
22,6/5/13,279500,11000040,Single Family,3,3,3020,27229,2000
23,3/20/08,400000,11000041,Single Family,4,2,2370,24034,1960
24,11/21/07,530500,11200070,Single Family,3,2.5,1530,3296,1998
25,8/28/06,490000,11200370,Single Family,3,2.5,1530,3696,1998
26,9/12/12,608000,11500050,Single Family,3,2.5,2780,13349,1990
27,9/2/08,630000,11500270,Single Family,3,2.5,2420,8186,1992
28,4/21/08,635000,11500510,Single Family,4,2.5,2280,9093,1990
29,8/25/09,520000,11500510,Single Family,4,2.5,2280,9093,1990
30,12/17/12,730000,11500890,Single Family,3,2.5,3130,8750,1991
31,7/1/10,605000,11501310,Single Family,3,3.25,3060,9055,1994
32,4/3/06,778000,11501330,Single Family,3,3.5,3190,10223,1994
33,1/7/11,635000,11510310,Single Family,4,2.75,3130,13412,1993
34,2/23/06,569950,11510360,Single Family,3,2.5,2660,9021,1992
35,12/2/11,527000,11510400,Single Family,3,2.75,2230,9948,1993
36,1/7/08,585000,11520030,Single Family,4,2.5,2341,9594,1997
37,8/26/08,705000,11520090,Single Family,4,3.75,3540,9185,1996
38,11/26/07,697500,11520400,Single Family,3,2.5,2470,9001,1995
39,1/14/08,721500,11520550,Single Family,4,2.5,2810,9012,1996
40,5/1/06,695000,11520590,Single Family,4,2.5,2590,9100,1996
41,5/4/06,395000,11900010,Single Family,3,2.75,2330,5420,2003
42,1/12/06,330000,11900050,Single Family,3,2.5,1850,4500,2004
43,12/16/11,222300,11900050,Single Family,3,2.5,1850,4500,2004
44,11/29/07,369950,11900080,Single Family,4,2.5,1920,4800,2004
45,8/18/06,377000,11900140,Single Family,3,2.5,1850,4597,2003
46,5/9/14,254000,11900140,Single Family,3,2.5,1850,4597,2003
47,1/18/07,279950,13001225,Single Family,3,1,920,5085,1954
48,11/15/06,338000,13002422,Single Family,3,2.5,1480,2550,2007
49,1/27/10,220000,13002422,Single Family,3,2.5,1480,2550,2007
50,1/26/06,259000,16000460,Single Family,3,1,1190,5635,1922
51,4/4/06,212000,16000500,Single Family,3,1,1290,4543,1951
52,10/8/14,515000,23500190,Single Family,4,2.25,2470,7800,1975
53,6/8/06,535000,23500440,Single Family,5,2.5,2730,9030,1976
54,5/2/12,447500,23500460,Single Family,4,2.75,1980,9800,1976
55,12/30/10,343000,23520190,Single Family,3,1.75,1470,9750,1978
56,9/24/08,518000,23520250,Single Family,4,2.5,2410,11000,1978
57,10/6/10,359000,23520620,Single Family,3,2,1850,9200,1977
58,7/11/06,625000,31000020,Single Family,3,1.75,1690,7140,1955
59,5/25/07,638000,31000040,Single Family,3,1.5,1510,7140,1955
60,10/24/07,705000,31000131,Single Family,3,1.5,1500,8568,1954
61,5/21/07,699500,31000165,Single Family,5,3.5,3620,7821,1958
62,4/13/12,1285000,31000165,Single Family,5,3.5,3620,7821,1958
63,10/5/06,830000,31000270,Single Family,3,2.5,3060,8736,1956
64,1/30/12,350000,34001020,Single Family,3,2,1240,4000,1918
65,5/19/08,435000,34001246,Single Family,3,1.75,1490,5320,1962
66,6/16/06,700000,34001648,Single Family,3,2.5,1790,5098,2005
67,10/25/10,660000,34001648,Single Family,3,2.5,1790,5098,2005
68,8/27/12,539800,34001765,Single Family,3,3.25,2230,5460,1977
69,11/24/14,872000,34001850,Single Family,4,3.25,2720,4320,2014
70,8/25/11,240000,34001865,Single Family,2,1,760,4320,1941
71,6/15/06,358950,37000505,Single Family,3,1.75,2080,7980,1937
72,7/9/10,289950,37000560,Single Family,3,1.75,1180,5320,1968
73,6/12/06,283000,40000006,Single Family,3,1.75,1130,8631,1955
74,3/20/14,357500,40000235,Single Family,5,2.5,2130,8428,2013
75,5/6/14,78000,40000362,Single Family,2,1,780,16344,1942
76,5/7/07,430450,40000511,Single Family,3,2.5,1800,7288,2007
77,8/16/06,289000,40000517,Single Family,4,2,2100,7920,1967
78,5/9/08,235000,40000553,Single Family,2,1,1400,19570,1929
79,11/3/06,200000,40000961,Single Family,1,1,700,8140,1943
80,7/29/06,531000,41000387,Single Family,5,3.75,5050,19350,1959
81,7/19/07,190000,41000454,Single Family,2,1,880,9000,1928
82,10/16/12,89000,41000454,Single Family,2,1,880,9000,1928
83,6/28/06,458000,41000551,Single Family,4,2.5,2730,10498,2002
84,10/13/06,225000,42000006,Single Family,5,1,1500,9282,1966
85,4/23/14,200000,42000127,Single Family,3,1.5,1970,10080,1966
86,6/12/07,271300,42000136,Single Family,6,4.25,3670,9180,2008
87,10/25/10,1713000,46100350,Single Family,5,3.5,5000,26540,2008
88,7/7/08,1852000,46100509,Single Family,4,3.25,5050,16240,1987
89,3/19/08,3650000,46100510,Single Family,5,5.5,6210,16750,2009
90,5/25/06,281000,49000015,Single Family,4,1.75,2220,8040,1955
91,8/28/06,200000,49000052,Single Family,3,1.75,1250,7201,1983
92,2/12/07,399950,49000083,Single Family,3,1.5,1420,8336,1955
93,9/19/07,421000,49500140,Single Family,4,2.5,2160,8285,1963
94,5/8/08,325775,49500160,Single Family,3,1,1150,7984,1961
95,7/9/07,450000,50300060,Single Family,5,3,2520,13042,2003
96,10/3/06,420000,50300240,Single Family,4,2.5,2180,9520,2004
97,1/4/13,277000,50300370,Single Family,4,2.5,1900,8408,2004
98,9/25/06,592000,50700010,Single Family,4,2.5,3340,15295,1990
99,1/19/06,339950,51000220,Single Family,5,2.5,2480,13125,1977
100,6/18/12,380000,52000019,Townhouse,3,2.5,920,1155,2008
101,9/25/08,269000,53500020,Single Family,4,2.5,1870,4046,2007
102,10/9/12,222500,53500020,Single Family,4,2.5,1870,4046,2007
103,12/11/08,242000,53500060,Single Family,3,2.5,1650,5845,2007
104,9/26/08,269000,53500210,Single Family,3,2.5,2060,5450,2007
105,11/2/07,336874,53500260,Single Family,3,2.5,2410,4923,2007
106,10/27/08,265704,53500280,Single Family,3,2.5,2060,6357,2007
107,10/29/09,270000,53500610,Single Family,4,2.5,2660,4800,2009
108,10/11/07,345702,53500630,Single Family,3,2.5,2060,8475,2007
109,7/28/09,265500,53500860,Single Family,4,2.5,2390,3982,2009
110,9/25/09,249500,53500900,Single Family,3,2.5,2150,3815,2009
111,3/17/07,805000,56000095,Single Family,3,2.75,2600,5875,1929
112,8/28/07,689975,56000155,Single Family,2,1.75,1560,5000,1936
113,4/11/07,619950,59000080,Single Family,4,2,2880,5000,1941
114,3/23/07,695000,59000150,Single Family,3,1.5,1830,3440,1941
115,11/3/06,531000,59000765,Single Family,5,1.75,2480,6000,1955
116,4/25/06,385000,59500260,Single Family,4,2.5,1810,7045,1988
117,7/30/07,453000,66000025,Single Family,3,1.75,1590,6300,1925
118,3/23/06,391000,66000175,Single Family,3,2,1850,6550,1985
119,2/7/06,282000,66000280,Single Family,3,1.5,1810,6550,1950
120,8/29/11,230000,66000350,Single Family,4,2.5,2210,6600,1943
121,2/21/07,515000,66000410,Single Family,3,1.75,1680,6500,1944
122,6/13/13,425000,66000445,Single Family,3,1.5,1810,6550,1928
123,3/1/07,389950,66000450,Single Family,3,1.75,1370,6550,1914
124,5/14/09,375000,66000450,Single Family,3,1.75,1370,6550,1914
125,8/14/08,460000,66000460,Single Family,4,2,1720,6550,1975
126,2/27/06,290000,66000485,Single Family,2,1,1080,6419,1918
127,1/18/06,630000,72000035,Single Family,4,3,2810,4109,1918
128,7/7/06,560000,72000040,Single Family,4,1.75,2110,4109,1924
129,4/21/09,575000,72000040,Single Family,4,1.75,2110,4109,1924
130,5/2/06,210000,84000052,Single Family,2,1,1180,5040,1942
131,4/7/11,125000,84000245,Single Family,3,1.75,1100,9452,1942
132,5/22/06,304000,84000310,Single Family,4,1,1260,11475,1942
133,11/6/13,185000,87000029,Single Family,7,2.5,2930,10450,1950
134,3/30/06,257000,87000256,Single Family,3,1,1370,18090,1947
135,1/26/11,320000,87000283,Single Family,3,2.5,1980,7800,1999
136,11/18/14,359950,87000283,Single Family,3,2.5,1980,7800,1999
137,6/14/06,389950,88000280,Single Family,2,0.75,1270,29800,1949
138,9/6/06,289950,88000425,Single Family,3,1.5,1320,8500,2003
139,6/3/08,530000,91000325,Single Family,3,1.5,1530,4761,1925
140,3/26/08,520000,97000120,Single Family,4,1,1590,4000,1907
141,8/31/06,880000,97000140,Single Family,4,2.5,2280,6000,1980
142,6/20/07,865000,97000275,Single Family,5,2.5,3080,4000,1925
143,10/10/07,909950,97600030,Single Family,4,2.5,3290,7601,2007
144,8/9/07,799950,97600040,Single Family,5,2.75,2920,5879,2007
145,9/19/07,889950,97600050,Single Family,4,2.5,3290,7577,2007
146,1/16/08,842475,97600070,Single Family,4,3.5,3500,6782,2007
147,10/10/07,855950,97600090,Single Family,4,3.25,2930,5216,2007
148,10/1/07,849950,97600100,Single Family,4,2.75,2940,5008,2007
149,6/26/07,829950,97600120,Single Family,5,2.5,2940,5100,2007
150,4/16/10,628000,97600120,Single Family,5,2.5,2940,5100,2007
151,7/2/07,824950,97600140,Single Family,4,2.5,2930,5000,2007
152,5/16/07,899950,97600200,Single Family,6,3.5,3850,5591,2007
153,10/16/06,1020000,98000030,Single Family,4,3.25,5210,12946,2002
154,11/27/06,1140000,98000100,Single Family,5,4,4610,17584,2004
155,8/17/10,1274500,98000150,Single Family,4,4,4930,22093,2004
156,6/28/06,1484402,98000190,Single Family,4,4,4960,17771,2006
157,7/28/08,1645000,98000210,Single Family,5,4.25,5240,15400,2007
158,1/4/07,1500000,98000300,Single Family,5,4.25,4950,14942,2006
159,11/11/09,840000,98000310,Single Family,4,3.5,4630,14205,2003
160,11/9/06,958000,98000560,Single Family,4,3.75,3550,15151,2004
161,12/13/10,705000,98000560,Single Family,4,3.75,3550,15151,2004
162,8/11/06,1095000,98000640,Single Family,5,3.5,4540,19098,2003
163,11/7/07,1200000,98000780,Single Family,4,3.25,5210,16531,2002
164,10/18/10,865800,98000870,Single Family,4,3.5,4460,16271,2001
165,10/26/06,1150000,98000880,Single Family,4,4.25,4220,17679,2001
166,10/26/06,1455000,98001170,Single Family,4,3.5,4840,15783,2006
167,12/27/07,1050000,98001220,Single Family,4,4.5,4160,15644,2004
168,5/22/06,1110000,98001230,Single Family,4,3.5,4330,15709,2005
169,8/18/06,1346950,98001240,Single Family,4,4.5,4630,14479,2005
170,1/11/07,1225950,98001250,Single Family,4,3.5,3950,14837,2006
171,4/26/06,949950,98020030,Single Family,5,4.25,3720,7338,2004
172,7/23/11,647500,98020050,Single Family,4,3.5,3550,7845,2004
173,2/14/06,700250,98020150,Single Family,4,2.5,3150,7121,2005
174,12/4/08,669000,98020220,Single Family,4,2.5,3210,8938,2005
175,6/20/08,709950,98020310,Single Family,4,2.5,3230,7331,2004
176,5/26/06,866750,98020410,Single Family,4,3.75,3320,8030,2005
177,3/21/06,885000,98020420,Single Family,4,3.5,4070,8727,2005
178,1/5/10,675000,98020430,Single Family,4,3.5,3740,6998,2005
179,5/16/06,842950,98020450,Single Family,5,4.25,3190,7380,2005
180,3/22/06,869950,98020460,Single Family,4,3.25,3280,7422,2005
181,2/13/06,974413,98020730,Single Family,6,4.5,5090,9379,2005
182,9/26/06,745950,98030100,Single Family,4,2.75,3100,9924,2006
183,8/24/09,800000,98030140,Single Family,4,4,3280,8448,2007
184,3/17/10,790000,98030150,Single Family,4,3.5,3510,12297,2008
185,4/18/12,710000,98030150,Single Family,4,3.5,3510,12297,2008
186,10/23/08,875000,98030160,Single Family,3,3.5,3500,9473,2008
187,3/8/06,760331,98030180,Single Family,4,3.25,3490,6565,2005
188,6/6/06,869950,98030190,Single Family,4,3.5,4100,11736,2006
189,4/28/06,829950,98030230,Single Family,4,3.75,3550,9750,2005
190,8/4/06,792656,98030260,Single Family,4,2.5,3780,10145,2006
191,6/14/06,750000,98030270,Single Family,4,2.5,3150,12364,2006
192,4/19/07,819950,98030320,Single Family,4,2.5,3480,7339,2006
193,12/21/06,895000,98030350,Single Family,5,3.75,4100,8074,2006
194,5/2/11,758125,98030350,Single Family,5,3.75,4100,8074,2006
195,3/21/07,909950,98030360,Single Family,4,3.5,4100,8860,2006
196,5/22/06,850915,98030380,Single Family,4,3.5,4070,10365,2006
197,12/20/07,879950,98030400,Single Family,4,3.5,3560,6098,2006
198,12/26/06,965950,98030440,Single Family,4,3.5,3480,6635,2006
199,9/20/07,832475,98030470,Single Family,4,3,3730,8629,2006
200,4/3/07,781123,98030520,Single Family,5,2.75,3200,6866,2007
201,6/16/10,610000,98030520,Single Family,5,2.75,3200,6866,2007
202,4/4/07,825000,98030530,Single Family,4,3.25,3490,7024,2006
203,11/15/06,822950,98030630,Single Family,5,3.75,3830,8131,2005
204,10/15/06,799950,98030660,Single Family,4,2.5,3880,7208,2006
205,2/8/08,742000,98030660,Single Family,4,2.5,3880,7208,2006
206,9/12/07,790000,98030680,Single Family,4,3.25,3490,7180,2006
207,9/18/07,769950,98030700,Single Family,5,2.75,3200,6713,2006
208,6/21/11,1459000,98300010,Single Family,4,4.5,5770,126565,2007
209,7/10/09,1216000,98300100,Single Family,4,4.5,4620,125641,2007
210,6/12/07,1673094,98300120,Single Family,5,5.5,6010,128044,2007
211,7/6/10,292889,100300090,Single Family,4,2.5,1630,4118,2010
212,6/30/10,294276,100300110,Single Family,3,2.5,1630,3164,2010
213,9/10/09,370000,100300160,Single Family,5,2.5,2290,5622,2009
214,10/22/09,312810,100300170,Single Family,3,2.5,1720,4885,2009
215,9/21/09,308000,100300230,Single Family,4,2.5,1730,5289,2009
216,11/5/09,309950,100300280,Single Family,3,2.25,1430,4777,2010
217,10/1/09,296751,100300340,Single Family,4,2.5,1820,3611,2009
218,9/8/09,289950,100300390,Single Family,4,2.5,1820,3051,2009
219,10/9/09,292646,100300400,Single Family,4,2.5,1820,4950,2010
220,6/24/10,277000,100300410,Single Family,4,2.5,1820,3522,2010
221,8/6/09,291697,100300500,Single Family,3,2.5,1520,3041,2009
222,8/19/09,298113,100300510,Single Family,4,2.5,1820,3773,2009
223,8/7/09,284236,100300530,Single Family,3,2.5,1520,3003,2009
224,3/16/06,350000,100500070,Single Family,4,2.25,1990,8463,1996
225,12/7/06,360000,100500250,Single Family,5,3.5,2960,7813,1996
226,5/16/06,216900,100600250,Single Family,3,1,970,7500,1969
227,5/19/06,240000,100600560,Single Family,4,2,1230,7504,1970
228,4/30/08,335000,100601040,Single Family,3,1.75,1220,8908,1976
229,9/26/12,240000,100601190,Single Family,4,2.5,1820,7440,1975
230,6/20/06,293000,100610010,Single Family,3,2.5,1470,7480,1977
231,12/20/10,187000,100610080,Single Family,4,1.75,1750,7840,1977
232,2/21/07,945000,103000024,Single Family,3,2.5,2870,8410,1998
233,5/9/07,580000,103000116,Single Family,3,1.75,2070,5500,1946
234,11/30/07,305000,103400160,Single Family,3,2.25,1590,7748,1991
235,5/23/06,307000,103400260,Single Family,3,2.5,2040,7350,1990
236,5/27/09,225000,103400260,Single Family,3,2.5,2040,7350,1990
237,12/20/06,300000,103400330,Single Family,3,2.25,1660,7606,1989
238,3/12/09,200000,104500760,Single Family,3,1.75,1620,7208,1981
239,5/13/13,220000,104500920,Single Family,4,2.75,1660,7334,1983
240,10/29/07,320000,104501040,Single Family,4,2,1500,7854,1983
241,11/11/09,252500,104510230,Single Family,3,2,1540,7210,1984
242,7/17/06,328000,104520090,Single Family,3,2.5,1750,7210,1985
243,5/25/06,284950,104520310,Single Family,3,2.75,1730,7224,1985
244,6/21/06,265000,104530220,Single Family,3,1.75,1140,6974,1986
245,4/6/06,286498,104540350,Single Family,3,1.75,1230,6000,1987
246,2/28/06,304720,104540570,Single Family,3,2.25,1700,5995,1986
247,8/28/07,298000,104540820,Single Family,3,2.25,1430,5999,1987
248,2/22/07,267800,104550080,Single Family,3,2,1260,7077,1988
249,4/9/07,314950,104550540,Single Family,4,2,1610,6650,1989
250,8/27/09,235000,104550580,Single Family,4,2.5,1990,6671,1989
251,4/12/07,400950,104570460,Single Family,4,2.75,2330,7802,1992
252,9/12/06,365000,104570630,Single Family,4,2.25,1890,6866,1992
253,8/14/07,351000,106000135,Single Family,2,1,860,8168,1948
254,1/27/10,415000,106000150,Single Family,3,2,1200,8168,1948
255,4/11/12,389000,106000150,Single Family,3,2,1200,8168,1948
256,5/21/09,400000,106000355,Single Family,3,1.75,1300,8395,1948
257,2/16/06,325000,106000360,Single Family,2,1,850,8391,1948
258,3/27/14,405000,106000395,Single Family,3,1,1410,8053,1951
259,1/20/10,300000,107000030,Townhouse,2,1.5,1340,1654,2009
260,1/4/10,375000,107000032,Townhouse,4,3.5,1820,2900,2009
